system:index,histogram_counts,histogram_means,month,year,.geo
113,[],[],6.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,[],[],7.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,[],[],8.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,[],[],9.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,[],[],10.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,[],[],11.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,[],[],12.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,[],[],1.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,[],[],2.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,[],[],3.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,[],[],4.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,[],[],5.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,[],[],6.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,[],[],7.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,[],[],8.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,[],[],9.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,[],[],10.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,[],[],11.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,[],[],12.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
