district,division,month,month_name,total_area_km2,water_area_km2,water_fraction,year,water_area_calibrated_km2,season
Rajbari,Dhaka,2,February,1249.73,83.46,0.066781,2015,193.1,Dry Winter (Dec-Feb)
Rajshahi,Rajshahi,2,February,2664.72,73.72,0.027664,2015,170.6,Dry Winter (Dec-Feb)
Rangamati,Chittagong,2,February,6226.06,280.11,0.044991,2015,648.2,Dry Winter (Dec-Feb)
Rangpur,Rangpur,2,February,2572.65,5.01,0.001947,2015,11.6,Dry Winter (Dec-Feb)
Satkhira,Khulna,2,February,3543.74,255.8,0.072183,2015,592.0,Dry Winter (Dec-Feb)
Shariatpur,Dhaka,2,February,1362.06,149.37,0.109667,2015,345.7,Dry Winter (Dec-Feb)
Sherpur,Dhaka,2,February,1455.19,1.84,0.001263,2015,4.3,Dry Winter (Dec-Feb)
Sirajganj,Rajshahi,2,February,2754.77,199.17,0.072299,2015,460.9,Dry Winter (Dec-Feb)
Sunamganj,Sylhet,2,February,4043.04,87.43,0.021625,2015,202.3,Dry Winter (Dec-Feb)
Sylhet,Sylhet,2,February,3846.15,129.75,0.033735,2015,300.3,Dry Winter (Dec-Feb)
Tangail,Dhaka,2,February,3705.34,71.46,0.019284,2015,165.4,Dry Winter (Dec-Feb)
Thakurgaon,Rangpur,2,February,2008.93,2.25,0.001118,2015,5.2,Dry Winter (Dec-Feb)
Bagerhat,Khulna,3,March,3965.62,161.06,0.040615,2015,372.7,Pre-Monsoon (Mar-May)
Bandarban,Chittagong,3,March,5000.66,0.34,6.9e-05,2015,0.8,Pre-Monsoon (Mar-May)
Barguna,Barisal,3,March,1547.28,149.71,0.096758,2015,346.5,Pre-Monsoon (Mar-May)
Barisal,Barisal,3,March,2767.25,384.41,0.138915,2015,889.6,Pre-Monsoon (Mar-May)
Bhola,Barisal,3,March,2471.69,622.37,0.251798,2015,1440.3,Pre-Monsoon (Mar-May)
Bogra,Rajshahi,3,March,3233.63,136.4,0.04218,2015,315.7,Pre-Monsoon (Mar-May)
Brahamanbaria,Chittagong,3,March,2104.07,41.46,0.019706,2015,95.9,Pre-Monsoon (Mar-May)
Chandpur,Chittagong,3,March,1864.17,224.16,0.120244,2015,518.7,Pre-Monsoon (Mar-May)
Chittagong,Chittagong,3,March,4736.75,79.68,0.016822,2015,184.4,Pre-Monsoon (Mar-May)
Chuadanga,Khulna,3,March,1233.0,3.47,0.002812,2015,8.0,Pre-Monsoon (Mar-May)
Comilla,Chittagong,3,March,3351.85,13.85,0.004133,2015,32.1,Pre-Monsoon (Mar-May)
Cox's Bazar,Chittagong,3,March,2206.6,27.14,0.012297,2015,62.8,Pre-Monsoon (Mar-May)
Dhaka,Dhaka,3,March,1611.18,51.2,0.031777,2015,118.5,Pre-Monsoon (Mar-May)
Dinajpur,Rangpur,3,March,3829.09,2.55,0.000666,2015,5.9,Pre-Monsoon (Mar-May)
Faridpur,Dhaka,3,March,2227.54,98.54,0.044237,2015,228.0,Pre-Monsoon (Mar-May)
Feni,Chittagong,3,March,960.78,3.98,0.004138,2015,9.2,Pre-Monsoon (Mar-May)
Gaibandha,Rangpur,3,March,2410.25,149.98,0.062225,2015,347.1,Pre-Monsoon (Mar-May)
Gazipur,Dhaka,3,March,1940.74,10.16,0.005236,2015,23.5,Pre-Monsoon (Mar-May)
Gopalganj,Dhaka,3,March,1602.77,8.54,0.005327,2015,19.8,Pre-Monsoon (Mar-May)
Habiganj,Sylhet,3,March,2857.81,8.5,0.002975,2015,19.7,Pre-Monsoon (Mar-May)
Jamalpur,Dhaka,3,March,2272.36,77.77,0.034223,2015,180.0,Pre-Monsoon (Mar-May)
Jessore,Khulna,3,March,2784.67,28.85,0.010362,2015,66.8,Pre-Monsoon (Mar-May)
Jhalokati,Barisal,3,March,807.93,28.78,0.035616,2015,66.6,Pre-Monsoon (Mar-May)
Jhenaidah,Khulna,3,March,2143.28,11.44,0.005336,2015,26.5,Pre-Monsoon (Mar-May)
Joypurhat,Rajshahi,3,March,1081.54,0.39,0.000361,2015,0.9,Pre-Monsoon (Mar-May)
Khagrachhari,Chittagong,3,March,3108.48,0.17,5.5e-05,2015,0.4,Pre-Monsoon (Mar-May)
Khulna,Khulna,3,March,3868.06,267.22,0.069084,2015,618.4,Pre-Monsoon (Mar-May)
Kishoreganj,Dhaka,3,March,2821.62,62.81,0.022261,2015,145.4,Pre-Monsoon (Mar-May)
